eps,min_samples,runtime_seconds,min_cluster_size,max_cluster_size,min_cluster_ratio,n_clusters,noise_ratio,silhouette,davies_bouldin,calinski_harabasz
1.0,5,0.2847260000000915,3,13,0.05172413793103448,9,0.9740724184175235,0.5994818940899165,0.5882644231822066,80.71274530818927
1.0,10,0.2801832000000104,0,0,0.0,0,1.0,,,
1.0,15,0.2798336000000745,0,0,0.0,0,1.0,,,
1.5,5,0.4388883000001442,4,291,0.005256241787122208,39,0.6598122485471614,0.08473367570494798,1.1020109857863547,33.63941631189221
1.5,10,0.3724171999999726,10,112,0.046948356807511735,7,0.9047831917746982,0.3461891582298665,0.9083998633430687,69.75404706533124
1.5,15,0.37401839999984077,29,69,0.29591836734693877,2,0.9561913276709879,0.42458261132938446,0.944123282565091,75.1021401247902
2.0,5,0.44229340000015327,4,483,0.0022975301550832855,22,0.22172552525704067,0.11029313529947979,1.3665856823844484,72.58964716876088
2.0,10,0.44104779999997845,6,473,0.004518072289156626,14,0.40634778721502013,0.13930252465272025,1.392538199429102,77.45359839554604
2.0,15,0.43986440000003313,16,431,0.015732546705998034,8,0.5453732677693339,0.1796067074380982,1.433032623510171,96.56530257374472
2.5,5,0.5047261999998227,4,1363,0.0019277108433734939,13,0.07241841752346893,0.09202791041450133,1.4627617457453181,54.38799245167878
2.5,10,0.5016795999999886,10,1339,0.0051466803911477095,7,0.1314260169870362,0.11237055138642632,1.6145142556155014,79.49734284178196
2.5,15,0.5188834000000497,21,795,0.011830985915492958,7,0.20652659812248547,0.11290654775247602,1.7923506284102935,119.4525659596852
3.0,5,0.5590677000000142,14,1851,0.006416131989000917,6,0.024586499776486366,0.1455544818677838,1.5298082401271886,86.89612970167626
3.0,10,0.5385144000001674,14,1842,0.006539000467071462,6,0.042914617791685296,0.14196536847057256,1.5114533186551842,78.2427280298291
3.0,15,0.5369095000000925,16,1832,0.007729468599033816,4,0.07465355386678588,0.1385424395379908,1.4882807788518146,81.58836593227564
3.5,5,0.5690867000000708,6,2083,0.0027149321266968325,4,0.012069736253911488,0.24790734926235583,1.46036826684353,93.4827579886805
3.5,10,0.6388068999999632,52,1856,0.023636363636363636,4,0.016540008940545373,0.1530981168319409,1.6400475904891643,146.01837774027294
3.5,15,0.5461463999999978,52,1856,0.023701002734731084,4,0.019222172552525705,0.15213767499956696,1.63590233157875,142.85637332455465
4.0,5,0.6084477000001698,53,2084,0.02394938996836873,3,0.010728654447921324,0.2703152344903148,1.2452782644624667,140.68903245159873
4.0,10,0.6208971000000929,53,2084,0.02394938996836873,3,0.010728654447921324,0.2703152344903148,1.2452782644624667,140.68903245159873
4.0,15,0.6419952000001103,53,2084,0.02398190045248869,3,0.012069736253911488,0.26811422342593544,1.2406326405127357,137.90905537207144
4.5,5,0.6588156000000254,53,2087,0.02391696750902527,3,0.009387572641931158,0.26981597964385606,1.245879272931666,140.37828500520416
4.5,10,0.7229070999999294,53,2087,0.02391696750902527,3,0.009387572641931158,0.26981597964385606,1.245879272931666,140.37828500520416
4.5,15,0.7328718999999637,53,2087,0.02391696750902527,3,0.009387572641931158,0.26981597964385606,1.245879272931666,140.37828500520416
5.0,5,0.7882196999998996,53,2095,0.023830935251798562,3,0.00581135449262405,0.2677328564772608,1.2485184862702632,138.90226872317987
5.0,10,0.7006530999999541,53,2094,0.02384165542060279,3,0.006258381761287439,0.2680803962031392,1.2480568163048416,139.16795754933534
5.0,15,0.6934551000001647,53,2094,0.02384165542060279,3,0.006258381761287439,0.2680803962031392,1.2480568163048416,139.16795754933534
6.0,5,0.73239250000006,2230,2230,1.0,1,0.0031291908806437194,,,
6.0,10,0.7242296999997961,2230,2230,1.0,1,0.0031291908806437194,,,
6.0,15,0.7266510000001745,2228,2228,1.0,1,0.004023245417970496,,,
7.0,5,0.7428832999999031,2231,2231,1.0,1,0.002682163611980331,,,
7.0,10,0.7427570000002106,2231,2231,1.0,1,0.002682163611980331,,,
7.0,15,0.757280099999889,2231,2231,1.0,1,0.002682163611980331,,,
