Cluster,Algorithm,Customer_Count,Age_mean,Age_median,Income_mean,Income_median,Total_Spending_mean,Total_Spending_median,Total_Purchases_mean,Total_Purchases_median,Total_Children_mean,Total_Children_median,Recency_mean,Recency_median,Customer_Tenure_Days_mean,Customer_Tenure_Days_median,Total_Accepted_Campaigns_mean,Total_Accepted_Campaigns_median,MntWines_mean,MntWines_median,MntFruits_mean,MntFruits_median,MntMeatProducts_mean,MntMeatProducts_median,MntFishProducts_mean,MntFishProducts_median,MntSweetProducts_mean,MntSweetProducts_median,MntGoldProds_mean,MntGoldProds_median,NumDealsPurchases_mean,NumDealsPurchases_median,NumWebPurchases_mean,NumWebPurchases_median,NumCatalogPurchases_mean,NumCatalogPurchases_median,NumStorePurchases_mean,NumStorePurchases_median,NumWebVisitsMonth_mean,NumWebVisitsMonth_median,Average_Spending_Per_Purchase_mean,Average_Spending_Per_Purchase_median,Web_Purchase_Ratio_mean,Web_Purchase_Ratio_median,Store_Purchase_Ratio_mean,Store_Purchase_Ratio_median,Catalog_Purchase_Ratio_mean,Catalog_Purchase_Ratio_median,Deal_Purchase_Ratio_mean,Deal_Purchase_Ratio_median,Segment_Name
-1,DBSCAN,24,42.208333333333336,41.0,75968.91666666667,35018.0,534.5,318.0,16.916666666666668,15.5,0.9166666666666666,1.0,37.041666666666664,30.0,336.3333333333333,363.5,0.20833333333333334,0.0,75.20833333333333,18.0,4.333333333333333,2.5,361.25,24.0,5.666666666666667,2.5,25.041666666666668,3.0,63.0,12.5,4.875,1.5,5.791666666666667,1.0,4.75,0.5,1.5,1.0,7.5,5.5,105.67441050520512,22.9541910331384,0.33887243636099473,0.2727272727272727,0.24389350764922846,0.031363636363636364,0.14724147253554618,0.02,0.26999258345423066,0.2402745995423341,Noise / Outlier Customers
0,DBSCAN,2084,44.979846449136275,44.0,52597.49784069098,51741.5,614.7399232245681,405.5,14.97552783109405,15.0,0.9592130518234165,1.0,49.28598848368522,50.0,352.3709213051823,352.0,0.4510556621880998,0.0,311.6190019193858,185.0,26.641554702495203,8.0,167.74376199616123,69.0,37.90451055662188,12.0,27.01919385796545,8.0,43.81190019193858,24.0,2.3095009596928984,2.0,4.1026871401151634,4.0,2.668905950095969,2.0,5.89443378119002,5.0,5.269673704414587,6.0,32.83738524205025,23.768716577540108,0.2662503722532468,0.26006441223832527,0.4110096954902159,0.4117647058823529,0.14248785919880128,0.125,0.17833268726119092,0.16666666666666666,Balanced Mid-Tier Customers
1,DBSCAN,53,36.20754716981132,35.0,20271.98113207547,20425.0,81.41509433962264,57.0,7.018867924528302,6.0,0.7358490566037735,1.0,47.905660377358494,47.0,435.50943396226415,519.0,0.1509433962264151,0.0,7.320754716981132,2.0,11.264150943396226,7.0,11.20754716981132,7.0,16.735849056603772,8.0,12.20754716981132,7.0,22.67924528301887,15.0,1.8113207547169812,1.0,1.8867924528301887,2.0,0.4716981132075472,0.0,2.849056603773585,3.0,6.90566037735849,7.0,9.697836771893375,7.666666666666667,0.2555600234845518,0.25,0.43898885880017957,0.42857142857142855,0.05542551438777854,0.0,0.25002560332749013,0.25,Moderate Regular Customers
2,DBSCAN,76,55.46052631578947,56.5,56866.53289473684,56551.0,747.1973684210526,646.0,16.82894736842105,17.0,0.881578947368421,1.0,48.776315789473685,48.0,370.67105263157896,371.5,0.618421052631579,0.0,374.0921052631579,336.5,33.48684210526316,13.5,191.46052631578948,89.5,51.61842105263158,23.0,39.43421052631579,11.0,57.10526315789474,39.5,2.3552631578947367,2.0,4.657894736842105,4.0,3.3552631578947367,3.0,6.4605263157894735,6.0,4.881578947368421,5.0,38.55159590954097,31.090225563909776,0.2668060074552523,0.25,0.3935309999021876,0.4,0.17789012319591926,0.15789473684210525,0.16177286944664085,0.1380952380952381,Wine-Enthusiast Mid-Tier Customers
