Cluster,Algorithm,Customer_Count,Age_mean,Age_median,Income_mean,Income_median,Total_Spending_mean,Total_Spending_median,Total_Purchases_mean,Total_Purchases_median,Total_Children_mean,Total_Children_median,Recency_mean,Recency_median,Customer_Tenure_Days_mean,Customer_Tenure_Days_median,Total_Accepted_Campaigns_mean,Total_Accepted_Campaigns_median,MntWines_mean,MntWines_median,MntFruits_mean,MntFruits_median,MntMeatProducts_mean,MntMeatProducts_median,MntFishProducts_mean,MntFishProducts_median,MntSweetProducts_mean,MntSweetProducts_median,MntGoldProds_mean,MntGoldProds_median,NumDealsPurchases_mean,NumDealsPurchases_median,NumWebPurchases_mean,NumWebPurchases_median,NumCatalogPurchases_mean,NumCatalogPurchases_median,NumStorePurchases_mean,NumStorePurchases_median,NumWebVisitsMonth_mean,NumWebVisitsMonth_median,Average_Spending_Per_Purchase_mean,Average_Spending_Per_Purchase_median,Web_Purchase_Ratio_mean,Web_Purchase_Ratio_median,Store_Purchase_Ratio_mean,Store_Purchase_Ratio_median,Catalog_Purchase_Ratio_mean,Catalog_Purchase_Ratio_median,Deal_Purchase_Ratio_mean,Deal_Purchase_Ratio_median,Segment_Name
0,AGNES,931,42.16433941997852,41.0,37429.643931256716,36138.0,202.73361976369495,79.0,10.489795918367347,8.0,1.267454350161117,1.0,47.343716433942,47.0,353.55209452201933,359.0,0.21160042964554243,0.0,101.9795918367347,27.0,8.43501611170784,3.0,44.13641245972073,18.0,12.968850698174007,4.0,9.29108485499463,3.0,25.92266380236305,13.0,2.669172932330827,2.0,2.975295381310419,2.0,0.8968850698174007,1.0,3.9484425349087005,3.0,6.5553168635875405,7.0,14.671669397978425,10.833333333333334,0.2639310265667104,0.25,0.41835811807335993,0.4166666666666667,0.06574228297567554,0.05,0.25089445852818537,0.25,Budget-Conscious Family Customers
1,AGNES,381,49.07874015748032,48.0,55737.09973753281,55954.0,674.7716535433071,507.0,15.994750656167978,17.0,0.9973753280839895,1.0,49.78740157480315,51.0,346.03412073490813,340.0,0.4330708661417323,0.0,391.0577427821522,293.0,22.95538057742782,6.0,169.25984251968504,73.0,32.76115485564304,10.0,22.711286089238847,5.0,36.026246719160106,19.0,2.3280839895013123,2.0,4.464566929133858,4.0,2.926509186351706,2.0,6.275590551181103,5.0,5.238845144356955,5.0,35.05993476365142,27.1,0.27354200400156026,0.2631578947368421,0.4051802459274745,0.4117647058823529,0.15230032300506152,0.125,0.16635275514989317,0.15,Wine-Enthusiast Mid-Tier Customers
2,AGNES,228,47.469298245614034,46.0,53378.92543859649,53752.0,620.8070175438596,431.0,15.368421052631579,16.0,1.013157894736842,1.0,49.49561403508772,51.0,359.2324561403509,376.5,0.5087719298245614,0.0,330.4429824561403,187.0,27.86842105263158,8.0,152.75438596491227,73.5,35.578947368421055,11.0,27.228070175438596,7.5,46.93421052631579,26.0,2.3947368421052633,2.0,4.37280701754386,4.0,2.7149122807017543,2.0,5.885964912280702,5.0,5.421052631578948,6.0,32.60262718419128,23.522435897435898,0.2712802155809959,0.26794871794871794,0.3988965030578211,0.4,0.14127411844494078,0.125,0.17977723309168073,0.16666666666666666,Balanced Mid-Tier Customers
3,AGNES,697,46.06599713055954,45.0,69697.9662840746,70321.0,1101.3931133428982,1080.0,19.9454806312769,20.0,0.48206599713055953,0.0,50.955523672883785,53.0,359.7776183644189,358.0,0.7489239598278336,0.0,517.5911047345768,465.0,51.38307030129125,33.0,334.26972740315637,267.0,73.55954088952655,54.0,53.14490674318508,35.0,71.44476327116212,51.0,1.8464849354375896,1.0,5.272596843615495,5.0,4.859397417503587,4.0,7.967001434720229,8.0,3.678622668579627,3.0,57.33521518239368,50.588235294117645,0.2654655289082377,0.2608695652173913,0.402810517607343,0.4117647058823529,0.23743573603424423,0.23076923076923078,0.09428821745017507,0.06666666666666667,High Value Affluent Buyers
