k,inertia,runtime_seconds,min_cluster_size,max_cluster_size,min_cluster_ratio,n_clusters,noise_ratio,silhouette,davies_bouldin,calinski_harabasz
2,40713.61100469407,0.5319437000000562,931,1306,0.4161823871256147,2,0.0,0.173089965125612,2.036574461020676,447.5164708219105
3,38549.19333880856,0.17644620000010036,617,943,0.2758158247653107,3,0.0,0.11400233659489503,2.613982833510617,298.9336555120726
4,36341.47420968631,0.20547129999999925,54,903,0.024139472507822977,4,0.0,0.13024153005848585,2.188726050677951,256.52241761518263
5,34286.87663867341,0.18644900000003872,2,1074,0.000894054537326777,5,0.0,0.13352113758221737,1.4424272959425544,237.26298087619878
6,32659.213837081137,0.2064835999999559,79,608,0.03531515422440769,6,0.0,0.16269085664067373,1.8245170116450058,221.41845330893196
7,30505.937707530426,0.22801400000003014,2,745,0.000894054537326777,7,0.0,0.12174687754992844,1.6495602664463136,223.68520900361514
8,28454.905900513753,0.2507305000001452,2,608,0.000894054537326777,8,0.0,0.13183383812608507,1.490707900560206,228.41130772290953
9,27172.82420335599,0.2733745999998973,2,464,0.000894054537326777,9,0.0,0.1645615300010822,1.5374531494197896,222.33527894405498
10,26194.145980157457,0.2615648000000874,2,472,0.000894054537326777,10,0.0,0.17304941627490966,1.5867410998070919,214.16847665838498
