Cluster,Algorithm,Customer_Count,Age_mean,Age_median,Income_mean,Income_median,Total_Spending_mean,Total_Spending_median,Total_Purchases_mean,Total_Purchases_median,Total_Children_mean,Total_Children_median,Recency_mean,Recency_median,Customer_Tenure_Days_mean,Customer_Tenure_Days_median,Total_Accepted_Campaigns_mean,Total_Accepted_Campaigns_median,MntWines_mean,MntWines_median,MntFruits_mean,MntFruits_median,MntMeatProducts_mean,MntMeatProducts_median,MntFishProducts_mean,MntFishProducts_median,MntSweetProducts_mean,MntSweetProducts_median,MntGoldProds_mean,MntGoldProds_median,NumDealsPurchases_mean,NumDealsPurchases_median,NumWebPurchases_mean,NumWebPurchases_median,NumCatalogPurchases_mean,NumCatalogPurchases_median,NumStorePurchases_mean,NumStorePurchases_median,NumWebVisitsMonth_mean,NumWebVisitsMonth_median,Average_Spending_Per_Purchase_mean,Average_Spending_Per_Purchase_median,Web_Purchase_Ratio_mean,Web_Purchase_Ratio_median,Store_Purchase_Ratio_mean,Store_Purchase_Ratio_median,Catalog_Purchase_Ratio_mean,Catalog_Purchase_Ratio_median,Deal_Purchase_Ratio_mean,Deal_Purchase_Ratio_median,Segment_Name
0,K-Means,677,49.420974889217135,49.0,55094.7917282127,55635.0,666.8064992614476,594.0,19.6218611521418,19.0,1.1240768094534712,1.0,48.23929098966027,48.0,435.36336779911375,461.0,0.3559822747415066,0.0,392.6957163958641,327.0,24.737075332348596,11.0,132.49630723781388,101.0,33.27326440177253,16.0,25.899556868537665,11.0,57.70457902511078,38.0,3.5642540620384047,3.0,6.435745937961595,6.0,2.7533234859675035,2.0,6.868537666174299,6.0,6.2171344165435745,6.0,32.53109091191219,28.73913043478261,0.3331782811181366,0.3333333333333333,0.3498476910116665,0.34782608695652173,0.136693954126218,0.12,0.1802800737439789,0.15789473684210525,Digitally Active Web Customers
1,K-Means,943,41.71580063626723,41.0,34185.98462354189,34176.0,91.06680805938494,59.0,7.773064687168611,7.0,1.2831389183457051,1.0,49.13467656415695,49.0,309.8154825026511,294.0,0.1537645811240721,0.0,38.85153764581124,19.0,5.055143160127254,2.0,21.40933191940615,13.0,6.970307529162248,3.0,5.024390243902439,2.0,13.75609756097561,9.0,2.0965005302226936,2.0,1.914103923647932,2.0,0.45811240721102864,0.0,3.3043478260869565,3.0,6.366914103923648,7.0,10.332078582396722,8.4,0.23983583717237275,0.25,0.45012293772069595,0.4444444444444444,0.051167270785237445,0.0,0.25675306354756866,0.25,Budget-Conscious Family Customers
2,K-Means,617,45.525121555915725,45.0,76655.02998379254,75759.0,1325.354943273906,1318.0,20.505672609400325,20.0,0.25283630470016205,0.0,50.00810372771475,54.0,335.1199351701783,317.0,0.9951377633711507,0.0,611.9059967585089,561.0,60.37763371150729,44.0,427.0729335494327,396.0,88.88168557536467,75.0,62.043760129659645,46.0,75.07293354943273,54.0,1.320907617504052,1.0,4.831442463533225,5.0,5.93192868719611,6.0,8.421393841166937,8.0,2.73257698541329,2.0,69.11913238902505,66.15,0.2351600669192619,0.23529411764705882,0.4120901102247207,0.42105263157894735,0.2854832289184256,0.2727272727272727,0.06402510285169227,0.05263157894736842,High Value Affluent Buyers
