Algorithm,Best Parameters,Number of Clusters,Noise Ratio,Smallest Cluster Size,Smallest Cluster Ratio,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Runtime Seconds,Short Interpretation
K-Means,"k=3, n_init=20",3,0.0,617,0.2758158247653107,0.11400233659489503,2.613982833510617,298.9336555120726,0.17644620000010036,"Centroid-based segments with compact, easy-to-profile customer groups."
AGNES,"n_clusters=4, linkage=ward",4,0.0,228,0.10192221725525256,0.12695679370100582,2.395336565823598,191.07764913468398,0.2460267000001295,Hierarchical segments useful for comparing nested customer structure.
DBSCAN,"eps=4.0, min_samples=5",3,0.010728654447921324,53,0.02394938996836873,0.2703152344903148,1.2452782644624667,140.68903245159873,0.6084477000001698,Density-based grouping that also marks sparse customers as noise.
