n_clusters_param,linkage,runtime_seconds,min_cluster_size,max_cluster_size,min_cluster_ratio,n_clusters,noise_ratio,silhouette,davies_bouldin,calinski_harabasz
2,ward,0.2908767000001262,931,1306,0.4161823871256147,2,0.0,0.10555353863727233,2.7011496117812457,251.22341976250664
2,complete,0.23849589999986165,2,2235,0.000894054537326777,2,0.0,0.8192580615989462,0.14145109621629115,108.20678304985235
2,average,0.3046037999999953,2,2235,0.000894054537326777,2,0.0,0.8192580615989462,0.14145109621629115,108.20678304985235
3,ward,0.24913820000006126,228,1078,0.10192221725525256,3,0.0,0.12334110068529343,2.336031676537299,207.59249489214778
3,complete,0.22835799999984374,2,2232,0.000894054537326777,3,0.0,0.78295716353797,0.2292133437052192,113.6360597711519
3,average,0.242555799999991,2,2232,0.000894054537326777,3,0.0,0.78295716353797,0.2292133437052192,113.6360597711519
4,ward,0.2460267000001295,228,931,0.10192221725525256,4,0.0,0.12695679370100582,2.395336565823598,191.07764913468398
4,complete,0.2358656000001247,1,2231,0.0004470272686633885,4,0.0,0.7204147146965522,0.22197139109218444,84.28456082206262
4,average,0.2515923000000839,1,2231,0.0004470272686633885,4,0.0,0.7204147146965522,0.22197139109218444,84.28456082206262
5,ward,0.25988490000008824,3,928,0.0013410818059901655,5,0.0,0.12983271386196157,1.9654211016646488,186.23764509523025
5,complete,0.27350879999994504,1,2221,0.0004470272686633885,5,0.0,0.3584879224476297,1.0476192265356303,66.83513050548001
5,average,0.24272340000015902,1,2230,0.0004470272686633885,5,0.0,0.41661207331677735,0.29890275502587593,64.53980461475943
6,ward,0.25150430000007873,2,928,0.000894054537326777,6,0.0,0.13012106743462934,1.6305184366748158,187.6606904549533
6,complete,0.23864320000006956,1,2221,0.0004470272686633885,6,0.0,0.3056320958346459,0.6314333543849564,57.25634548290447
6,average,0.24634770000011486,1,2226,0.0004470272686633885,6,0.0,0.3168106302389861,0.5242020627744133,54.45172547473212
7,ward,0.26035060000003796,2,874,0.000894054537326777,7,0.0,0.14326445635345067,1.5300732286373366,193.00798105374773
7,complete,0.23886930000003304,1,2217,0.0004470272686633885,7,0.0,0.26867722770135444,0.6899818427497125,50.11327307835706
7,average,0.24204129999998258,1,2221,0.0004470272686633885,7,0.0,0.3003970980187704,0.5853864972065324,48.41510938507963
8,ward,0.250583000000006,2,874,0.000894054537326777,8,0.0,0.14511175293979564,1.3634997919112488,200.32548698698278
8,complete,0.2913985000000139,1,2038,0.0004470272686633885,8,0.0,0.12785317723273912,1.0920255014786795,60.42150502242471
8,average,0.2595294999998714,1,2167,0.0004470272686633885,8,0.0,0.28658622645240234,0.6345483200697312,63.89278021779238
9,ward,0.2682593000001816,2,697,0.000894054537326777,9,0.0,0.1406092778672141,1.4531828946600664,202.47081467841625
9,complete,0.2687542000001031,1,2038,0.0004470272686633885,9,0.0,0.05496393185589679,1.0415989875856544,67.68038201980426
9,average,0.25286099999993894,1,2157,0.0004470272686633885,9,0.0,0.22530147611115192,0.7817694065783206,58.659322661051846
10,ward,0.2922808000000714,2,697,0.000894054537326777,10,0.0,0.1399806798446327,1.442007947552711,201.5270493855787
10,complete,0.2624561999998605,1,1962,0.0004470272686633885,10,0.0,0.07530699327446812,1.0644222916166541,79.25700846163204
10,average,0.24972520000005716,1,2081,0.0004470272686633885,10,0.0,0.2287801213241743,0.8323639627728934,70.36487744754454
